Lig1,Lig2,0.41,0.08
Lig1,Lig3,0.44,0.08
Lig1,Lig4,0.38,0.06
Lig1,Lig5,0.09,0.04
Lig1,Lig6,0.57,0.09
Lig1,Lig7,4.13,0.04
Lig1,Lig8,1.79,0.04
Lig1,Lig9,1.92,0.07
Lig1,Lig10,2.41,0.02
Lig1,Lig11,3.61,0.08
Lig1,Lig12,2.64,0.10
Lig2,Lig1,-0.14,0.06
Lig2,Lig3,0.29,0.04
Lig2,Lig6,1.47,0.14
Lig3,Lig1,0.11,0.08
Lig3,Lig2,-0.19,0.04
Lig3,Lig4,0.35,0.03
Lig4,Lig1,-0.28,0.06
Lig4,Lig3,-0.36,0.03
Lig5,Lig1,-1.01,0.04
Lig5,Lig6,0.80,0.06
Lig5,Lig7,3.70,0.03
Lig6,Lig1,-0.36,0.08
Lig6,Lig2,-0.53,0.13
Lig6,Lig5,-1.03,0.05
Lig7,Lig1,-4.84,0.04
Lig7,Lig5,-3.80,0.02
Lig7,Lig8,-3.25,0.04
Lig8,Lig1,-1.16,0.05
Lig8,Lig7,3.09,0.05
Lig8,Lig9,0.63,0.06
Lig9,Lig1,-1.21,0.06
Lig9,Lig8,0.38,0.07
Lig9,Lig11,2.35,0.03
Lig10,Lig1,-1.81,0.03
Lig10,Lig12,0.72,0.10
Lig11,Lig1,-2.96,0.07
Lig11,Lig9,-2.15,0.03
Lig11,Lig12,-0.61,0.04
Lig12,Lig1,-2.31,0.09
Lig12,Lig10,-0.69,0.09
Lig12,Lig11,1.17,0.04